Delta_C,Vega_C,Impl_Vol_C,Open_Int_C,BID_C,ASK_C,Exp,Strike,BID_P,ASK_P,Delta_P,Vega_P,Impl_Vol_P,Open_Int_P
0.878,0.179,0.2995,"1,597",30.89,31.13,15-Jun-18,233,0.53,0.55,-0.059,0.108,0.2257,"18,807"
0.875,0.183,0.2932,"1,841",29.92,30.16,15-Jun-18,234,0.56,0.58,-0.063,0.113,0.222,"12,125"
0.871,0.187,0.287,"4,493",28.96,29.19,15-Jun-18,235,0.6,0.61,-0.067,0.119,0.2185,"55,631"
0.867,0.191,0.2808,"4,328",27.99,28.23,15-Jun-18,236,0.64,0.66,-0.072,0.126,0.2156,"15,969"
0.863,0.196,0.2748,"4,193",27.03,27.27,15-Jun-18,237,0.68,0.7,-0.077,0.132,0.2121,"22,971"
0.859,0.2,0.2689,"4,729",26.08,26.31,15-Jun-18,238,0.73,0.75,-0.083,0.139,0.209,"10,852"
0.854,0.205,0.263,"2,935",25.13,25.35,15-Jun-18,239,0.78,0.8,-0.089,0.147,0.2057,"70,300"
0.849,0.21,0.257,"12,818",24.17,24.4,15-Jun-18,240,0.84,0.86,-0.095,0.155,0.2027,"123,473"
0.843,0.216,0.2511,"6,105",23.22,23.45,15-Jun-18,241,0.91,0.92,-0.103,0.163,0.1998,"11,747"
0.837,0.222,0.2455,"9,016",22.28,22.51,15-Jun-18,242,0.96,0.99,-0.11,0.171,0.1962,"28,692"
0.83,0.228,0.2403,"8,116",21.36,21.57,15-Jun-18,243,1.04,1.06,-0.118,0.181,0.1933,"22,908"
0.823,0.234,0.2346,"4,317",20.42,20.64,15-Jun-18,244,1.11,1.14,-0.127,0.19,0.19,"27,486"
0.815,0.241,0.2293,"10,953",19.5,19.71,15-Jun-18,245,1.2,1.23,-0.137,0.2,0.1871,"77,166"
0.806,0.248,0.2239,"2,071",18.58,18.79,15-Jun-18,246,1.3,1.33,-0.147,0.21,0.1843,"12,746"
0.797,0.256,0.2191,"1,243",17.69,17.88,15-Jun-18,247,1.4,1.43,-0.159,0.221,0.1811,"20,025"
0.787,0.263,0.2139,"3,525",16.78,16.98,15-Jun-18,248,1.51,1.55,-0.171,0.232,0.1782,"14,890"
0.775,0.272,0.2101,"2,008",15.95,16.09,15-Jun-18,249,1.64,1.67,-0.184,0.243,0.1753,"28,046"
0.763,0.28,0.2051,"28,693",15.06,15.21,15-Jun-18,250,1.77,1.81,-0.199,0.254,0.1723,"191,226"
0.75,0.288,0.2003,"1,823",14.2,14.33,15-Jun-18,251,1.92,1.96,-0.214,0.266,0.1695,"19,217"
0.736,0.297,0.1955,"3,302",13.34,13.47,15-Jun-18,252,2.08,2.12,-0.231,0.277,0.1665,"66,167"
0.721,0.305,0.1909,"3,345",12.49,12.63,15-Jun-18,253,2.25,2.3,-0.249,0.289,0.1636,"65,004"
0.704,0.314,0.1864,"3,700",11.67,11.79,15-Jun-18,254,2.44,2.49,-0.268,0.3,0.1606,"42,640"
0.687,0.322,0.1821,"24,009",10.86,10.98,15-Jun-18,255,2.65,2.71,-0.289,0.311,0.1579,"63,417"
0.668,0.33,0.1776,"5,434",10.06,10.18,15-Jun-18,256,2.88,2.94,-0.311,0.322,0.1551,"27,022"
0.647,0.337,0.1736,"7,708",9.29,9.41,15-Jun-18,257,3.13,3.2,-0.335,0.332,0.1525,"28,551"
0.626,0.344,0.1693,"7,922",8.53,8.65,15-Jun-18,258,3.4,3.47,-0.359,0.34,0.1496,"31,981"
0.602,0.351,0.1654,"7,874",7.81,7.92,15-Jun-18,259,3.7,3.77,-0.386,0.348,0.1469,"18,724"
0.578,0.356,0.1614,"34,860",7.1,7.21,15-Jun-18,260,4.03,4.1,-0.414,0.355,0.1444,"134,299"
0.551,0.36,0.1576,"12,017",6.42,6.53,15-Jun-18,261,4.37,4.45,-0.443,0.359,0.1415,"25,854"
0.524,0.362,0.1538,"11,268",5.77,5.87,15-Jun-18,262,4.75,4.83,-0.474,0.362,0.1388,"65,824"
0.495,0.363,0.1503,"14,908",5.16,5.25,15-Jun-18,263,5.16,5.25,-0.506,0.363,0.1362,"35,832"
0.464,0.361,0.1468,"18,742",4.58,4.66,15-Jun-18,264,5.61,5.7,-0.539,0.361,0.1336,"23,759"
0.433,0.358,0.1429,"61,208",4.02,4.08,15-Jun-18,265,6.09,6.19,-0.573,0.357,0.1312,"78,685"
0.401,0.352,0.1397,"28,009",3.5,3.58,15-Jun-18,266,6.61,6.72,-0.607,0.349,0.1288,"41,469"
0.368,0.343,0.1364,"31,866",3.02,3.1,15-Jun-18,267,7.17,7.29,-0.642,0.34,0.1266,"25,957"
0.335,0.332,0.1336,"35,690",2.6,2.66,15-Jun-18,268,7.77,7.9,-0.676,0.327,0.1245,"18,035"
0.302,0.318,0.1306,"40,922",2.2,2.26,15-Jun-18,269,8.42,8.55,-0.709,0.312,0.1227,"29,873"
0.269,0.301,0.1279,"127,814",1.85,1.9,15-Jun-18,270,9.1,9.24,-0.741,0.294,0.1209,"59,082"
0.238,0.282,0.1253,"16,352",1.54,1.58,15-Jun-18,271,9.77,9.97,-0.774,0.273,0.1185,"10,563"
0.207,0.261,0.1227,"21,456",1.26,1.3,15-Jun-18,272,10.54,10.74,-0.802,0.253,0.1173,"13,732"
0.179,0.239,0.1207,"29,029",1.03,1.07,15-Jun-18,273,11.33,11.54,-0.828,0.231,0.1161,"20,436"
0.154,0.217,0.1191,"18,237",0.84,0.87,15-Jun-18,274,12.16,12.38,-0.852,0.21,0.1154,"12,878"
0.131,0.195,0.1177,"128,510",0.68,0.71,15-Jun-18,275,13.01,13.25,-0.873,0.189,0.1148,"29,978"
0.11,0.173,0.1163,"18,374",0.54,0.57,15-Jun-18,276,13.9,14.13,-0.891,0.169,0.1145,"4,368"
0.092,0.152,0.1153,"17,731",0.43,0.46,15-Jun-18,277,14.8,15.06,-0.906,0.152,0.1151,"9,079"
0.078,0.134,0.1152,"18,171",0.35,0.38,15-Jun-18,278,15.73,15.99,-0.919,0.136,0.1159,"7,867"
0.065,0.116,0.1145,"17,889",0.28,0.3,15-Jun-18,279,16.67,16.93,-0.93,0.121,0.1167,"6,363"
0.054,0.101,0.1145,"95,082",0.22,0.25,15-Jun-18,280,17.62,17.88,-0.939,0.108,0.1177,"26,093"
0.045,0.087,0.1145,"6,449",0.18,0.2,15-Jun-18,281,18.58,18.85,-0.946,0.098,0.1194,"4,034"
0.038,0.076,0.1149,"16,960",0.14,0.17,15-Jun-18,282,19.55,19.82,-0.952,0.089,0.1212,"5,153"
0.032,0.066,0.1158,"23,719",0.12,0.14,15-Jun-18,283,20.52,20.8,-0.957,0.081,0.1231,"3,264"
0.027,0.058,0.117,"16,715",0.1,0.12,15-Jun-18,284,21.5,21.78,-0.961,0.074,0.1253,"2,461"
0.023,0.05,0.1175,"50,177",0.08,0.1,15-Jun-18,285,22.49,22.76,-0.965,0.069,0.1279,"5,870"
0.02,0.045,0.1195,"13,594",0.07,0.09,15-Jun-18,286,23.47,23.75,-0.968,0.064,0.1304,"13,914"
0.018,0.041,0.1212,"29,764",0.06,0.08,15-Jun-18,287,24.46,24.73,-0.971,0.059,0.1325,967
0.015,0.036,0.1225,"11,468",0.05,0.07,15-Jun-18,288,25.45,25.72,-0.973,0.055,0.1353,710
0.013,0.031,0.1233,"29,142",0.04,0.06,15-Jun-18,289,26.44,26.72,-0.974,0.053,0.1389,"1,558"
0.013,0.03,0.1269,"118,158",0.04,0.06,15-Jun-18,290,27.43,27.71,-0.976,0.049,0.1413,"3,965"
0.01,0.025,0.127,"14,545",0.03,0.05,15-Jun-18,291,28.43,28.7,-0.977,0.047,0.1447,190
0.01,0.025,0.1307,"14,093",0.03,0.05,15-Jun-18,292,29.42,29.69,-0.979,0.044,0.1468,5
0.008,0.02,0.1296,"18,012",0.02,0.04,15-Jun-18,293,30.41,30.69,-0.98,0.042,0.15,191
0.008,0.019,0.1332,"11,608",0.02,0.04,15-Jun-18,294,31.41,31.68,-0.981,0.04,0.1531,94
0.007,0.019,0.1367,"69,930",0.02,0.04,15-Jun-18,295,32.4,32.68,-0.982,0.038,0.156,773
0.006,0.016,0.1373,"13,725",0.02,0.03,15-Jun-18,296,33.4,33.67,-0.983,0.036,0.1588,11
0.005,0.014,0.1372,"4,529",0.01,0.03,15-Jun-18,297,34.39,34.67,-0.984,0.035,0.1617,88
0.004,0.011,0.1362,"5,285",0.01,0.02,15-Jun-18,298,35.39,35.66,-0.984,0.033,0.1644,5
0.005,0.013,0.144,"10,334",0.01,0.03,15-Jun-18,299,36.38,36.66,-0.985,0.031,0.1669,0
0.006,0.015,0.1508,"71,567",0.02,0.03,15-Jun-18,300,37.38,37.66,-0.985,0.031,0.171,"25,106"
0.005,0.013,0.1504,"4,213",0.01,0.03,15-Jun-18,301,38.38,38.65,-0.986,0.03,0.1733,60
0.004,0.01,0.1492,"18,811",0.01,0.02,15-Jun-18,302,39.37,39.65,-0.987,0.028,0.1757,6
0.003,0.007,0.1465,"6,278",0,0.02,15-Jun-18,303,40.37,40.65,-0.987,0.028,0.1797,0
0.003,0.007,0.1494,"6,569",0,0.02,15-Jun-18,304,41.37,41.64,-0.988,0.026,0.1818,0
0.004,0.01,0.1589,"13,452",0.01,0.02,15-Jun-18,305,42.36,42.64,-0.989,0.025,0.1837,26
0.002,0.007,0.1549,"1,527",0,0.02,15-Jun-18,306,43.36,43.63,-0.99,0.023,0.1855,0
0.002,0.007,0.1588,"1,792",0,0.02,15-Jun-18,307,44.35,44.63,-0.99,0.021,0.187,0
0.002,0.007,0.1615,"2,425",0,0.02,15-Jun-18,308,45.35,45.63,-0.991,0.021,0.1909,0
0.002,0.007,0.1643,926,0,0.02,15-Jun-18,309,46.35,46.62,-0.991,0.02,0.1921,1
0.002,0.006,0.1666,"7,002",0,0.02,15-Jun-18,310,47.34,47.62,-0.992,0.018,0.1932,5
0.002,0.007,0.1705,443,0,0.02,15-Jun-18,311,48.34,48.62,-0.992,0.018,0.1969,0
0.002,0.007,0.1737,"4,633",0,0.02,15-Jun-18,312,49.34,49.61,-0.993,0.016,0.1975,1
0.002,0.006,0.1759,330,0,0.02,15-Jun-18,313,50.34,50.61,-0.993,0.016,0.2011,1
0.001,0.004,0.1682,613,0,0.01,15-Jun-18,314,51.33,51.61,-0.994,0.014,0.2013,5
0.001,0.004,0.1709,"28,514",0,0.01,15-Jun-18,315,52.33,52.6,-0.995,0.012,0.2009,13
